on cpu
loading data ... from src/model/gnn/dataset/cmt-conference/cmt_conference_Ontology_Node_Embeddings.txt
src/model/gnn/dataset/cmt-conference/cmt_conference_Ontology_Edge_List.txt
src/model/gnn/dataset/cmt-conference/prog_seed_pairs.txt
src/model/gnn/dataset/cmt-conference/pos_neg_pairs.txt
done
Epoch 0099 | Eval Loss 0.6666 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0019
Epoch 0099 | Eval Loss 0.6885 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0015
ITER=2, #Train=81, #HeldOut=2922, #Test=3003
Test Set Loss 1.0657 | Precision 0.0082 | Recall 1.0000 | F1 0.0162 | AUC 0.7116 | trainTime 0.4123 | exSelTime 159.2564 | testTime 0.0021 | numPos 1.0000 | numNeg 80.0000
Epoch 0099 | Eval Loss 0.6838 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0031
Epoch 0099 | Eval Loss 0.6885 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0071
Epoch 0099 | Eval Loss 0.6791 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0057
Epoch 0099 | Eval Loss 0.6838 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0042
Epoch 0099 | Eval Loss 0.6791 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0061
Epoch 0099 | Eval Loss 0.6885 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0039
Epoch 0099 | Eval Loss 0.6838 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0050
Epoch 0099 | Eval Loss 0.6885 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0019
Epoch 0099 | Eval Loss 0.6791 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0020
Epoch 0099 | Eval Loss 0.6885 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0058
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0033
Epoch 0099 | Eval Loss 0.6931 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0062
Epoch 0099 | Eval Loss 0.6885 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0066
Epoch 0099 | Eval Loss 0.6885 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0020
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0065
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0019
Epoch 0099 | Eval Loss 0.6932 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0051
Epoch 0099 | Eval Loss 0.6931 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0019
Epoch 0099 | Eval Loss 0.6791 | Precision 1.0000 | Recall 1.0000 | F1 1.0000 | AUC 1.0000 | time 0.0056
Epoch 0099 | Eval Loss 0.6931 | Precision 0.0000 | Recall 0.0000 | F1 0.0000 | AUC nan | time 0.0026
